installed_name,installed_version,installed_path,installed_dev,installed_optional
@napi-rs/nice-linux-arm64-gnu,1.0.1,node_modules/@napi-rs/nice-linux-arm64-gnu,True,True
@napi-rs/nice-linux-arm64-musl,1.0.1,node_modules/@napi-rs/nice-linux-arm64-musl,True,True
@napi-rs/nice-linux-ppc64-gnu,1.0.1,node_modules/@napi-rs/nice-linux-ppc64-gnu,True,True
@napi-rs/nice-linux-riscv64-gnu,1.0.1,node_modules/@napi-rs/nice-linux-riscv64-gnu,True,True
@napi-rs/nice-linux-s390x-gnu,1.0.1,node_modules/@napi-rs/nice-linux-s390x-gnu,True,True
@napi-rs/nice-linux-x64-gnu,1.0.1,node_modules/@napi-rs/nice-linux-x64-gnu,True,True
@napi-rs/nice-linux-x64-musl,1.0.1,node_modules/@napi-rs/nice-linux-x64-musl,True,True
@napi-rs/nice-win32-arm64-msvc,1.0.1,node_modules/@napi-rs/nice-win32-arm64-msvc,True,True
@napi-rs/nice-win32-ia32-msvc,1.0.1,node_modules/@napi-rs/nice-win32-ia32-msvc,True,True
@napi-rs/nice-win32-x64-msvc,1.0.1,node_modules/@napi-rs/nice-win32-x64-msvc,True,True
@ngtools/webpack,19.0.6,node_modules/@ngtools/webpack,True,False
@nodelib/fs.scandir,2.1.5,node_modules/@nodelib/fs.scandir,True,False
@nodelib/fs.stat,2.0.5,node_modules/@nodelib/fs.stat,True,False
@nodelib/fs.walk,1.2.8,node_modules/@nodelib/fs.walk,True,False
@npmcli/agent,3.0.0,node_modules/@npmcli/agent,True,False
lru-cache,10.4.3,node_modules/@npmcli/agent/node_modules/lru-cache,True,False
lru-cache,10.4.3,node_modules/@npmcli/git/node_modules/lru-cache,True,False
lru-cache,10.4.3,node_modules/cacache/node_modules/lru-cache,True,False
lru-cache,10.4.3,node_modules/hosted-git-info/node_modules/lru-cache,True,False
lru-cache,5.1.1,node_modules/lru-cache,True,False
lru-cache,10.4.3,node_modules/path-scurry/node_modules/lru-cache,True,False
@npmcli/fs,4.0.0,node_modules/@npmcli/fs,True,False
@npmcli/git,6.0.1,node_modules/@npmcli/git,True,False
isexe,3.1.1,node_modules/@npmcli/git/node_modules/isexe,True,False
isexe,3.1.1,node_modules/@npmcli/promise-spawn/node_modules/isexe,True,False
isexe,3.1.1,node_modules/@npmcli/run-script/node_modules/isexe,True,False
isexe,2.0.0,node_modules/isexe,True,False
isexe,3.1.1,node_modules/node-gyp/node_modules/isexe,True,False
which,5.0.0,node_modules/@npmcli/git/node_modules/which,True,False
which,5.0.0,node_modules/@npmcli/promise-spawn/node_modules/which,True,False
which,5.0.0,node_modules/@npmcli/run-script/node_modules/which,True,False
which,2.0.2,node_modules/cross-spawn/node_modules/which,True,False
which,5.0.0,node_modules/node-gyp/node_modules/which,True,False
which,1.3.1,node_modules/which,True,False
@npmcli/installed-package-contents,3.0.0,node_modules/@npmcli/installed-package-contents,True,False
@npmcli/node-gyp,4.0.0,node_modules/@npmcli/node-gyp,True,False
@npmcli/package-json,6.1.0,node_modules/@npmcli/package-json,True,False
brace-expansion,2.0.1,node_modules/@npmcli/package-json/node_modules/brace-expansion,True,False
brace-expansion,2.0.1,node_modules/@tufjs/models/node_modules/brace-expansion,True,False
brace-expansion,1.1.11,node_modules/brace-expansion,True,False
brace-expansion,2.0.1,node_modules/cacache/node_modules/brace-expansion,True,False
brace-expansion,2.0.1,node_modules/ignore-walk/node_modules/brace-expansion,True,False
brace-expansion,2.0.1,node_modules/minizlib/node_modules/brace-expansion,True,False
brace-expansion,2.0.1,node_modules/node-gyp/node_modules/brace-expansion,True,False
brace-expansion,2.0.1,node_modules/sucrase/node_modules/brace-expansion,True,False
glob,10.4.5,node_modules/@npmcli/package-json/node_modules/glob,True,False
glob,10.4.5,node_modules/cacache/node_modules/glob,True,False
glob,7.2.3,node_modules/glob,True,False
glob,10.4.5,node_modules/minizlib/node_modules/glob,True,False
glob,10.4.5,node_modules/node-gyp/node_modules/glob,True,False
glob,10.4.5,node_modules/sucrase/node_modules/glob,True,False
minimatch,9.0.5,node_modules/@npmcli/package-json/node_modules/minimatch,True,False
minimatch,9.0.5,node_modules/@tufjs/models/node_modules/minimatch,True,False
minimatch,9.0.5,node_modules/cacache/node_modules/minimatch,True,False
minimatch,9.0.5,node_modules/ignore-walk/node_modules/minimatch,True,False
minimatch,3.1.2,node_modules/minimatch,True,False
minimatch,9.0.5,node_modules/minizlib/node_modules/minimatch,True,False
minimatch,9.0.5,node_modules/node-gyp/node_modules/minimatch,True,False
minimatch,9.0.5,node_modules/sucrase/node_modules/minimatch,True,False
@npmcli/promise-spawn,8.0.2,node_modules/@npmcli/promise-spawn,True,False
@npmcli/redact,3.0.0,node_modules/@npmcli/redact,True,False
